name,email,phone,preferred_date,preferred_time,service,device_type,device_os,device_browser,ip_city,ip_country,created_at
Diego Lopez,diego.lopez95@hotmail.com,+34826600539,2026-02-11,15:00,Atención Pediátrica,Mobile,iOS,Edge,Bogota,CO,2026-02-11 08:00
Tomas Garcia,tomas.garcia92@hotmail.com,+1550455977,2026-07-17,09:00,Symptomatic IV,Mobile,Windows,Safari,Barcelona,ES,2026-07-17 16:00
Emma Perez,emma.perez12@gmail.com,+54203848421,2026-06-14,10:00,Enfermedades Crónicas,Mobile,Linux,Firefox,Madrid,ES,2026-06-14 16:00
Valeria Rodriguez,valeria.rodriguez81@yahoo.com,+1488302652,2026-07-13,14:00,B-Complex IV,Desktop,iOS,Safari,Ciudad de Mexico,MX,2026-07-13 15:00
Hugo Lopez,hugo.lopez49@gmail.com,+57586845604,2026-05-27,15:00,Enfermedades Crónicas,Desktop,Android,Firefox,Miami,US,2026-05-27 10:00
Martina Diaz,martina.diaz78@gmail.com,+52673528321,2026-06-01,15:00,B-Complex IV,Desktop,macOS,Edge,Bogota,CO,2026-06-01 10:00
Andres Garcia,andres.garcia5@hotmail.com,+57530747414,2026-02-11,10:00,Vitamin C IV,Desktop,Linux,Firefox,Barcelona,ES,2026-02-11 09:00
Joaquin Torres,joaquin.torres96@yahoo.com,+1560027313,2026-02-04,14:00,IV Rehydration,Mobile,Android,Chrome,Madrid,ES,2026-02-04 14:00
Mateo Martinez,mateo.martinez88@hotmail.com,+54740389325,2026-03-20,08:00,IV Rehydration,Mobile,Linux,Edge,Madrid,ES,2026-03-20 14:00
Lucia Diaz,lucia.diaz88@gmail.com,+1906248900,2026-05-21,10:00,Medicina Preventiva,Tablet,Windows,Safari,Buenos Aires,AR,2026-05-21 10:00
Camila Torres,camila.torres65@hotmail.com,+34771410971,2026-04-02,10:00,Enfermedades Crónicas,Tablet,Linux,Chrome,Buenos Aires,AR,2026-04-02 09:00
Emma Torres,emma.torres77@gmail.com,+57624636385,2026-04-20,08:00,Vitamin C IV,Desktop,Windows,Firefox,Ciudad de Mexico,MX,2026-04-20 09:00
Mateo Rodriguez,mateo.rodriguez9@outlook.com,+1922308461,2026-07-10,09:00,Vitamin C IV,Mobile,macOS,Chrome,Ciudad de Mexico,MX,2026-07-10 10:00
Diego Torres,diego.torres92@hotmail.com,+57528414718,2026-03-11,15:00,General Consultation,Desktop,macOS,Edge,Valencia,ES,2026-03-11 08:00
Tomas Torres,tomas.torres76@hotmail.com,+52107721109,2026-05-22,08:00,Consulta General,Mobile,iOS,Chrome,Valencia,ES,2026-05-22 08:00
Diego Gonzalez,diego.gonzalez28@outlook.com,+1242068763,2026-07-16,15:00,Consulta Virtual,Desktop,Linux,Edge,Madrid,ES,2026-07-16 09:00
